上記のグラフは、人口【問】という。【富士山・ピラミッド・つぼ・つりがね】？,ピラミッド,010.png
日本の1935年の人口ピラミッドは【問】型であった。【富士山・ピラミッド・つぼ・つりがね】？,富士山,010.png
日本の1935年の人口ピラミッドは富士山型であったが、次第に【問】型へと変化。【富士山・ピラミッド・つぼ・つりがね】？,つりがね,010.png
日本の1935年の人口ピラミッドは富士山型であったが、次第につりがね型へと変化し、2023年には【問】型となる【富士山・ピラミッド・つぼ・つりがね】？,つぼ,010.png
図のピンク色のところは、日本で特に人口や経済、産業が集中している東京、大阪、名古屋の3つの大都市ですがこの３つのエリアの総称は？,太平洋側三大都市圏,011.png
地図中に都市名で示した、各地方の政治や経済の中心となっている都市を何と言うか？,地方中枢都市,011.png
地図中に▲で示した、政府によって指定を受けた人口50万人以上の都市を何と言うか？,政令指定都市,011.png
高度経済成長期に人口が急増して【①】になった都市では、地価が上昇したため、都市部の人口が減少し、郊外に建設された【②】などの人口が増加する【③】現象が起こった。①は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,過密
高度経済成長期に人口が急増して【①】になった都市では、地価が上昇したため、都市部の人口が減少し、郊外に建設された【②】などの人口が増加する【③】現象が起こった。②は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,ニュータウン
高度経済成長期に人口が急増して【①】になった都市では、地価が上昇したため、都市部の人口が減少し、郊外に建設された【②】などの人口が増加する【③】現象が起こった。③は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,ドーナツ化
1990年代に地価が下がり、都市部の【④】が進むと、再び都心付近の人口が増加する【⑤】と呼ばれる現象が起こった。④は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,再開発
1990年代に地価が下がり、都市部の【④】が進むと、再び都心付近の人口が増加する【⑤】と呼ばれる現象が起こった。⑤は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,都心回帰
農村部などでは人口の減少が急速に進み、地域社会の維持が困難になる【⑥】が深刻になっているが、近年では、農村部から都市部へ移り住んだ人が、また農村部へ戻ってくる【⑦】や、都市部から農村部へ移り住む【⑧】も見られるようになった。⑥は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,過疎
農村部などでは人口の減少が急速に進み、地域社会の維持が困難になる【⑥】が深刻になっているが、近年では、農村部から都市部へ移り住んだ人が、また農村部へ戻ってくる【⑦】や、都市部から農村部へ移り住む【⑧】も見られるようになった。⑦は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,Uターン
農村部などでは人口の減少が急速に進み、地域社会の維持が困難になる【⑥】が深刻になっているが、近年では、農村部から都市部へ移り住んだ人が、また農村部へ戻ってくる【⑦】や、都市部から農村部へ移り住む【⑧】も見られるようになった。⑧は何が入るか次から選べ【・都心回帰・過疎・過密・再開発・Uターン・Iターン・ニュータウン・ドーナツ化】？,Iターン
日本で１９４０年代後半に出生数が急増した現象を、カタカナで何と言うか？,ベビーブーム
日本で1980年を過ぎたころから進んだ、出生数が減少し、高齢者が増加する現象を何という？,少子高齢化
グラフの①②③にあてはまる、発電方法を次から選べ①オレンジは、【・火力・水力・原子力】？,水力,012.png
グラフの①②③にあてはまる、発電方法を次から選べ②黄色は、【・火力・水力・原子力】？,火力,012.png
グラフの①②③にあてはまる、発電方法を次から選べ③ムラサキは、【・火力・水力・原子力】？,原子力,012.png
工業製品の原料となる鉱物を何と言うか？,鉱産資源
国内で消費されるエネルギーのうち、国内でまかなえる割合を何と言う？,エネルギー自給率
分布が非常にかたよっている、コバルト、クロム、ニッケルなどの希少金属をカタカナで何という？,レアメタル
日本が①石油と、②石炭・鉄鉱石を最も多く輸入している相手国をを選べ①石油は【・中国・アメリカ合衆国・サウジアラビア・オーストラリア】？,サウジアラビア
日本が①石油と、②石炭・鉄鉱石を最も多く輸入している相手国をを選べ②石炭、鉄鉱石は【・中国・アメリカ合衆国・サウジアラビア・オーストラリア】？,オーストラリア
火力発電で発生する二酸化炭素など【①】ガスが原因で、地球全体の気温が上昇する【②】という環境問題が起こっている。①は何？,温室効果
火力発電で発生する二酸化炭素など【①】ガスが原因で、地球全体の気温が上昇する【②】という環境問題が起こっている。②は何？,地球温暖化
太陽光や風力のように、繰り返し利用することができる、環境に与える影響の少ないエネルギーを何と言うか？,再生可能エネルギー
廃棄物を回収し、資源として再生利用することをカタカナで何と言うか？,リサイクル
資料から①水力発電所と②火力発電所は、それぞれ、内陸部臨海部どちらに多いか、①は？,内陸部,013.png
資料から①水力発電所と②火力発電所は、それぞれ、内陸部臨海部どちらに多いか、②は？,臨海部,013.png
水力発電所が内陸部に多い理由を「ダム」の語句を使って書け？,山地を流れる川の上流部に発電用のダムを建設するから
火力発電所が臨海部に多い理由を「燃料」の語句を使って書け？,燃料となる石油や石炭などを船で輸入するのに便利だから


